起止站点,记录总数,价格1,价格1数量,价格1与最低收费差额,价格2,价格2数量,价格2与最低收费差额,价格3,价格3数量,价格3与最低收费差额,价格4,价格4数量,价格4与最低收费差额,价格5,价格5数量,价格5与最低收费差额
上海白鹤路站-上海凌海路站,9,10.03,8,0.0,18.24,1,8.21,,,,,,,,,
上海莘砖公路站-上海新桥主线站,28,4.76,1,0.0,6.08,27,1.32,,,,,,,,,
上海蕰川路站-上海朱枫公路站申嘉湖,5,15.92,1,0.0,23.75,4,7.83,,,,,,,,,
上海蕰川路站-浙江秀洲(嘉兴西)站,3,67.27,2,0.0,89.87,1,22.6,,,,,,,,,
上海金山卫站-上海凌海路站,20,29.42,17,0.0,31.28,3,1.86,,,,,,,,,
上海金山卫站-上海同济高架路站,9,24.11,1,0.0,29.42,8,5.31,,,,,,,,,
上海金山卫站-上海周浦站,6,60.77,1,0.0,65.39,5,4.62,,,,,,,,,
上海金山卫站-上海林海公路站东南环,3,31.28,2,0.0,39.41,1,8.13,,,,,,,,,
上海金山卫站-上海沪崇站,4,29.42,2,0.0,31.28,2,1.86,,,,,,,,,
上海金山卫站-上海沪翔高速站,19,29.42,1,0.0,31.28,16,1.86,99.85,2,70.43,,,,,,
上海金山卫站-上海蕰川路站,20,29.42,19,0.0,31.28,1,1.86,,,,,,,,,
上海金山卫站-上海高东站,38,29.5,1,0.0,31.28,1,1.78,36.87,3,7.37,41.48,32,11.98,93.45,1,63.95
上海颛桥站-上海大叶公路站莘奉金,15,14.57,14,0.0,20.06,1,5.49,,,,,,,,,
上海高东站-S19金山卫,3,22.67,1,0.0,41.48,2,18.81,,,,,,,,,
上海高东站-上海临港站,160,10.03,159,0.0,77.18,1,67.15,,,,,,,,,
上海高东站-上海金山卫站,54,22.67,1,0.0,31.28,4,8.61,36.87,11,14.2,40.26,4,17.59,41.48,34,18.81
上海高东站-上海金海路站,51,5.72,2,0.0,7.19,49,1.47,,,,,,,,,
上海高东站-浙江新仓(独山港东)站,54,36.73,2,0.0,42.32,11,5.59,46.93,41,10.2,,,,,,
安徽南淝河路站-安徽集贤路站,10,23.82,1,0.0,25.73,9,1.91,,,,,,,,,
安徽曹庄站-安徽滁州北站,3,47.02,2,0.0,55.17,1,8.15,,,,,,,,,
安徽滁州北站-安徽曹庄站,3,47.02,2,0.0,55.17,1,8.15,,,,,,,,,
